society_name,square_footage,bedrooms,bathrooms,age_of_house,lot_size,garage_size,has_pool,school_district_rating,distance_to_city_center,nearby_amenities,price
Pinewood Estates,3325.3984700833435,4,1,44,9576.725336868152,1,1,6,29.58242128463121,4,501291.0738502263
Maple Grove,3818.4968246925673,2,1,0,5970.070023058892,1,0,4,20.913679739999754,5,489863.92866981076
Mountain Ridge,3684.4820512829465,3,2,39,5044.141678959157,1,0,7,8.064828967483635,4,460747.9661220933
River View,2793.6999364332555,2,2,18,3304.282695452728,2,0,9,24.158119305787373,9,449372.7917738702
Sunset Heights,3765.6227050693506,2,4,75,8289.645218088463,2,0,10,4.1038448921201045,2,564171.4859560555
Mountain Ridge,1265.4775061557584,3,4,71,7875.551456604731,0,0,10,23.64027982097723,8,336014.5892591305
Mountain Ridge,1587.9485872574355,5,4,71,5074.840308193079,0,1,7,27.395687600196197,2,447136.8574820849
Mountain Ridge,1135.6818667316143,5,2,60,2201.547311673835,1,0,1,12.102168448284623,1,290518.12391964096
Mountain Ridge,1975.990992289793,2,2,11,8711.978621744085,2,1,10,19.288423554509333,10,363446.40363770473
Sunset Heights,2166.031869068446,3,3,60,2091.343867632589,3,1,9,13.474139230807962,3,417542.098191523
Pinewood Estates,1814.0470953216877,3,4,32,7629.598237032407,3,0,4,13.695186594655725,9,526646.6391442184
Maple Grove,3486.212527455788,4,4,44,9762.056877808456,1,1,3,10.000755784135482,3,624846.6222089975
Mountain Ridge,2070.259980080768,5,4,89,5501.2906251856275,1,1,4,23.101758993059413,9,573730.427124548
Maple Grove,1842.8035290621424,1,1,91,3879.787239967622,2,0,4,28.14912036082865,7,242188.31055691195
Maple Grove,2628.0882494747457,5,3,68,7638.968080347054,2,1,10,28.28177491779937,10,586459.8505868677
Mountain Ridge,1422.772674924288,5,4,7,8537.025136124681,2,1,2,6.068657261373081,1,522283.53880881553
Pinewood Estates,3406.590942262119,4,4,24,6371.442528622779,0,1,1,26.367565840040417,10,537041.3103313844
Maple Grove,1223.6519310393126,1,4,90,9736.28220204917,0,0,10,22.385511801386542,5,214888.9634471943
River View,3960.6608098015517,4,1,45,2413.349773263689,1,0,1,8.332284620018388,9,506534.2366266679
Maple Grove,3316.734307889972,1,1,86,6038.364786436225,0,0,8,2.951253774723922,3,347732.9788029634
Mountain Ridge,1596.1470446025173,2,2,29,7747.631578580401,2,1,2,8.771920739646962,9,408128.8711028264
Sunset Heights,1016.5663513708072,1,3,46,8901.123769193433,2,0,10,27.45403886666424,5,154262.0876309683
Maple Grove,3446.3842853645024,4,2,86,3434.04489526232,0,1,5,19.362181571977395,9,561567.7405979316
Pinewood Estates,3120.572031542851,5,3,48,8400.027854109452,3,0,4,21.910585166038285,10,509997.5891197385
River View,3187.021504122962,1,1,46,6421.656605748362,1,1,8,8.45741818216378,6,500237.63656719675
River View,3313.811040057837,1,4,83,5172.429455919706,3,0,2,21.862256511669788,9,450969.2177683607
Sunset Heights,1222.1339552022712,3,2,81,3053.7202286327483,1,0,10,1.8155236820597889,7,232337.2209908949
Sunset Heights,2075.397185632818,5,4,17,8922.366071271299,3,1,9,11.8843190274174,7,509287.75792314723
Maple Grove,1347.607178575389,2,2,65,3258.1856654377225,0,0,7,19.175847107727606,8,192592.9691332883
Mountain Ridge,3589.3102776267806,4,1,67,4478.302873672794,1,1,7,5.236800400698287,7,477472.49718817614
Pinewood Estates,2869.894380482674,2,1,93,4320.364255699495,1,0,1,24.867103658961106,9,315199.3466260686
River View,1992.6940745579477,5,1,32,8971.312273526833,1,0,2,7.815907665545641,9,466406.20584606286
Sunset Heights,1190.6750508580708,1,2,35,7381.623953671184,2,1,4,19.91615227173494,6,257775.94534607965
Pinewood Estates,1932.9469651469867,1,3,81,8373.451177530978,2,1,4,12.75071713468456,7,304092.02168550366
Mountain Ridge,1975.5499660802411,5,2,100,4003.743190339992,3,1,3,18.28526426885177,2,446098.3825368289
River View,3188.818535014192,1,3,18,6998.992796855991,0,0,7,4.116066026238336,9,466944.30880205904
River View,2912.6724140656393,1,2,27,6573.96786514999,2,1,8,1.4904711977266123,1,556931.5907134265
Mountain Ridge,3661.6382277289795,1,2,39,8662.64301430617,1,0,2,27.377368394028736,1,440177.665514722
River View,2416.644775485848,4,1,83,9248.696483850084,2,1,4,8.819270254248302,3,453655.58269550046
Mountain Ridge,1358.782737814905,4,4,96,2097.2541718190946,0,1,3,24.770633080633313,6,387009.7858725651
River View,3139.734361668985,3,4,75,7392.159352470341,2,1,2,29.981158713693805,5,518270.4972010018
Maple Grove,3282.355145850692,2,3,14,2414.686392957832,1,1,6,7.131506481968423,2,524684.7798544138
Mountain Ridge,2683.8315927084886,5,4,40,6390.869320618847,3,1,4,8.689951494317313,9,724228.4453179162
Pinewood Estates,3312.901539863683,5,2,38,4301.0618323494255,1,1,6,20.222933841405304,10,516925.5473292152
Maple Grove,2481.3867890931724,5,2,1,4454.212796177129,0,0,2,28.998010403418014,4,460930.7763187636
Pinewood Estates,2568.198488145982,3,1,62,4823.668027618853,3,1,4,27.558616097531573,4,415127.77644067
River View,2282.623055075649,4,1,28,6970.339592396881,2,0,6,15.583390081901962,5,385915.1221995728
Pinewood Estates,1076.2573802322856,3,4,73,4672.399725350154,2,1,5,24.058198193275015,8,321299.0248970629
Maple Grove,1323.6742809799134,5,3,65,7861.592404722243,2,1,3,4.93662973989713,10,467250.18812735094
Mountain Ridge,1094.2875570602027,2,4,50,5236.219084590957,3,1,8,29.345707341916356,4,322608.11151387246
Sunset Heights,2909.231233791341,1,4,74,2546.825602479669,1,0,7,28.96624378704361,5,357764.88158919447
Pinewood Estates,1943.0679432289799,4,4,76,8270.078739872857,3,0,3,5.748139778495958,4,414331.64325804805
Sunset Heights,2525.712073494108,4,4,9,4286.066596741648,3,1,6,9.683270619290091,6,500295.35680763226
Pinewood Estates,3722.699421778279,3,2,13,5462.135036794101,0,0,4,3.904494927696241,3,481863.1921122107
Pinewood Estates,1747.8766874466248,4,3,81,7483.551065775212,3,1,5,8.879810368047211,8,442410.0009086745
Mountain Ridge,2231.148769106889,5,2,50,4659.649257189696,2,1,5,24.66271789304099,6,482282.9245843869
River View,3266.653415629146,5,3,72,2452.685249173725,1,0,7,11.971152607792524,10,667367.8676312396
Maple Grove,1686.3944964748675,3,1,38,4991.368376102509,1,0,5,3.563512047255993,5,277712.8895525244
Maple Grove,1230.939729486379,5,4,27,9555.588661554428,1,0,3,10.924540218588232,2,321469.46755641385
Maple Grove,1869.254358741304,2,2,2,7133.875178388465,2,0,10,29.460116692997122,10,302707.17295865895
River View,1483.6638617620133,3,3,83,7371.833189337655,2,1,5,19.260824262516884,10,387486.34266914084
Sunset Heights,3789.0929570277194,2,1,69,7058.257229101118,2,0,7,13.068667445778575,7,516115.38524684863
Maple Grove,3424.3611386932507,1,1,26,3591.9371116754946,2,0,5,5.82961689142083,2,464912.5281622957
Sunset Heights,2900.2112695312703,2,4,1,5346.670912818241,2,1,5,29.59912712122715,1,532777.6068049497
River View,3614.381770563153,1,3,92,8007.518386906546,3,0,9,24.804621268630733,7,524891.9675770339
River View,3411.0162306973434,1,2,37,2810.983180425273,2,0,3,9.162841771076662,5,438893.95429000753
Mountain Ridge,1559.7101766581077,2,4,2,4222.822208717698,2,0,6,3.0319921759144943,1,463408.6069427857
Maple Grove,3677.6769954699334,3,2,15,4210.5528677268285,2,0,1,2.6421411639491827,4,539087.1017347022
Mountain Ridge,2618.0267257469523,5,1,93,5456.1514207560485,2,1,10,4.490966335660481,4,507878.9990045709
Maple Grove,3422.3204654921874,5,2,39,9842.94992753748,1,1,5,17.842288924818227,10,678807.4122737244
River View,3688.2738997704796,1,2,1,2540.0203734705756,2,0,8,27.93413921495928,7,504288.36702121183
River View,1954.0104249155916,1,4,80,6149.60795504476,3,0,5,15.40555941217355,9,253777.5080570841
Pinewood Estates,1330.1557735830302,3,2,40,3434.9174560976835,3,1,9,25.44541899122972,2,332093.5143819058
Pinewood Estates,1683.8054876258252,4,4,11,9765.412363277952,3,0,6,13.930711975934427,1,471070.4450876936
River View,2281.323365878769,2,1,34,2906.4280378197136,0,0,8,21.54892282726693,2,204442.26256442908
River View,3454.0442977674793,1,4,64,5228.808018892731,1,0,10,22.224309381308522,7,502536.2123743587
Sunset Heights,3582.19174976903,5,4,54,7903.079878676849,2,0,8,6.044947471196821,10,688217.5930109174
Sunset Heights,1020.8563915935721,3,3,44,7636.435424219562,0,0,3,11.475265710298542,6,315858.41901617264
Mountain Ridge,2532.241907732697,2,2,78,5381.829095151458,2,0,7,19.481762539602695,4,318740.4653961626
Pinewood Estates,2252.233009446337,3,1,89,4772.193343621746,0,0,7,3.0502016373466194,1,352372.007118127
Pinewood Estates,1666.3234314121908,2,4,100,5180.899028422964,0,0,10,11.484665445125742,1,277679.6044266938
River View,1359.5961020010484,2,1,84,4114.210105269114,3,0,6,16.509184522154584,5,326066.5983794639
River View,2012.8455142108837,1,3,61,3642.6635096543987,3,1,7,29.890510298294522,1,478034.56041709654
Mountain Ridge,3828.7291117375576,3,2,48,5864.31758047112,0,1,2,14.76147331605078,7,634439.350010376
Pinewood Estates,1969.6087960622658,3,4,94,4148.270048540859,3,1,9,24.665645956315384,1,439485.17560871516
Sunset Heights,2556.3718652300986,5,2,24,4299.693319178001,0,0,10,13.529951266931914,1,548487.4224560718
Maple Grove,3109.0568766855336,5,3,22,7254.048507796457,1,0,10,24.09533095597156,2,548339.7375415687
Mountain Ridge,2090.888807137882,1,3,23,9748.298653599137,3,1,1,18.267029246983142,10,383607.19627441093
Maple Grove,3915.346248162882,1,1,37,6829.0976044750005,3,0,1,26.71126780356955,3,450014.2433824654
Sunset Heights,3887.3418848263336,4,4,27,2615.8357365197303,3,1,3,12.917334018153188,1,726006.2969083809
Sunset Heights,1755.3468874760924,5,1,20,2604.668910832536,1,0,3,18.524828174822886,9,413303.67396113323
Maple Grove,2491.7455176771564,2,3,53,9611.385766764528,0,1,1,19.270541737945994,10,365792.5009547936
Mountain Ridge,1902.6349294503088,3,2,17,4378.326322458669,2,1,7,13.104105312213726,8,378754.3332621115
Maple Grove,1854.5214831324029,1,1,35,2736.5358886598033,3,1,4,5.185049266936964,5,335063.8646466059
Mountain Ridge,1110.6608420635985,3,1,98,6792.356697203052,0,0,10,3.7132228004577312,2,217725.2906176945
Mountain Ridge,2828.6930019396905,3,2,44,6989.190226322129,1,1,2,1.48347496738936,5,529428.3157984507
River View,2508.037069686585,4,1,72,7188.038560949505,2,0,10,26.332493663111226,6,395641.5835598664
Pinewood Estates,1154.436253749968,5,2,52,4139.21622286033,3,0,5,7.8577724549221415,1,302834.4870338422
Pinewood Estates,1835.9393927098345,1,4,29,2120.8854737158003,1,0,6,7.133695729171273,4,418097.8720583492
Sunset Heights,3724.797657899961,3,2,59,9720.122955635776,1,0,9,22.345026612355902,9,460630.8340642595
River View,1718.6856720009173,1,4,97,4007.14436552882,2,0,4,10.28046727953436,2,352726.0987568168
Pinewood Estates,1434.6846162736692,2,2,31,7408.2103044203795,0,0,2,15.67529607994326,5,272040.67570088274
Mountain Ridge,2468.358280832689,4,3,66,7653.038959029676,3,0,5,5.712820893626232,1,532957.4092814089
Mountain Ridge,3956.951362331802,2,3,66,6880.059336635885,3,1,3,28.832625922397106,4,552184.2316095673
Maple Grove,1726.1658145345014,1,4,27,4503.259153709186,0,1,2,25.695860600499884,4,303492.802178732
Maple Grove,3016.4066422176356,1,4,43,4168.770030112526,0,1,1,26.049899065985095,6,442626.7479598681
Mountain Ridge,3284.8588459861526,5,3,78,6781.346261621625,0,0,10,12.796438708588152,10,526429.3884036876
Mountain Ridge,1712.912631977199,3,4,40,8928.765068893532,2,0,2,23.10847519750801,9,395122.9884912376
Maple Grove,3184.649045835579,3,2,62,9573.869831387165,2,0,6,5.172408506303625,3,558989.3343407884
Pinewood Estates,2103.3493981577594,2,2,22,2847.2464352300613,3,0,8,1.249951075161628,9,355562.7945941001
Sunset Heights,2896.9174917807386,4,3,74,3238.6289007817586,2,1,3,1.5792150447628157,6,535320.45945815
Maple Grove,2900.589132282684,3,1,47,9557.890070264637,1,0,9,18.011450384732253,7,373160.32453754405
Pinewood Estates,2607.3240522242754,5,2,31,7892.281826678341,3,1,9,14.206452252190283,10,582677.0439765804
Pinewood Estates,1270.8693101632248,2,4,56,9063.950598638185,2,0,2,16.022445118347072,2,274078.5174504124
Pinewood Estates,3505.907486767714,2,1,99,3621.061073082745,0,1,8,1.2164310720993627,10,530997.8279692245
River View,1962.3401949152076,5,1,32,6700.686968875215,1,0,10,13.257911970065345,6,391744.4880912339
River View,1559.5555311995627,4,2,23,7609.116755339789,0,1,5,21.823976674824962,6,372473.58695733943
Pinewood Estates,1122.3254246642919,5,2,38,7440.895083575781,3,0,4,13.838117357055639,2,360966.88904463314
Mountain Ridge,2772.6788295647257,4,1,33,5265.213526933585,0,1,10,22.234356983054447,2,444622.41475604096
River View,3032.6930855268474,5,1,55,2123.159133530468,2,0,5,7.757549967508209,2,525844.493517254
Maple Grove,1049.7634867835684,5,3,27,6663.408454434105,2,1,4,24.58111812997004,10,406530.6250026664
River View,2536.279174897843,1,4,36,4024.8123134368698,3,1,8,18.064505973150116,1,535622.2878099214
Mountain Ridge,1679.4873255938137,2,3,6,5602.033969143123,0,0,4,7.112129883467281,5,442925.8719222151
Sunset Heights,2935.5183712283497,5,2,67,9660.64812067054,3,1,10,7.864893799761155,8,641565.7278858004
River View,1523.0992870149744,5,3,36,5192.282541139478,0,0,6,19.212883472516573,2,349322.17645014526
Pinewood Estates,3072.8132143073976,3,3,55,8718.412853315414,1,0,2,25.06824820316086,5,474617.6230609434
Pinewood Estates,2160.2060389016124,2,3,64,3508.324845994009,2,0,5,13.0532056788455,8,323564.2032074869
Pinewood Estates,3810.1899662102037,3,3,64,7379.683984200231,3,1,6,8.490712444700174,10,673518.7819017308
Sunset Heights,1412.5628324379798,2,4,46,9816.055635511548,1,1,5,26.143336600407412,5,291366.590822655
Mountain Ridge,2023.1990531507754,3,4,19,2815.144806983494,1,0,2,20.408780460774214,2,400064.21921694226
Maple Grove,1340.4205637217672,5,1,18,2066.5595378175362,3,0,7,13.99447913120922,3,318148.44461846445
Mountain Ridge,3774.080854835688,5,2,28,5468.662341060915,3,1,4,15.149105663099753,6,660964.7343576367
Sunset Heights,3632.018060142943,1,3,73,2741.0038644109377,1,1,8,6.923437570155496,5,427804.5863707129
Pinewood Estates,1773.8248831454669,3,1,59,7987.074797409851,0,1,7,19.177276271880473,4,244463.0662328843
Mountain Ridge,2979.952138102537,4,1,17,9316.389310788472,1,0,7,11.40353280574377,4,478295.1162077262
Maple Grove,3451.6666006036476,1,1,91,5472.16778167007,3,0,9,29.87371012355613,5,346571.3694536649
Pinewood Estates,2665.602434798387,3,4,34,4069.693137243528,1,0,1,14.925321942594747,2,494712.23741137673
Maple Grove,2588.9517350680194,3,3,42,5475.226552052878,0,0,10,15.090682579498782,9,381114.3992375493
River View,1725.5568727013551,1,3,94,7787.582542800008,2,0,6,17.409701834909484,2,275956.5251731651
Maple Grove,1279.3083034176975,5,2,90,2072.433292642968,2,1,6,27.585924090443655,10,336079.6873708231
Pinewood Estates,3691.6472738599805,3,3,10,6715.631915877578,1,0,6,24.223724895932758,2,537333.8927289842
River View,3701.254171489991,5,3,48,6906.333479099032,0,1,6,14.082772024137402,10,573601.7733417873
Pinewood Estates,2899.304371819804,1,1,37,7101.505975167484,2,1,10,21.842278713211083,9,406507.03216911375
Pinewood Estates,2017.089373146102,5,2,63,3936.1766398470177,1,0,7,18.000829464642088,3,334683.8494489087
River View,2047.6287238379828,2,3,68,7712.421787025014,1,1,10,15.278644412336218,10,450909.69668197975
Maple Grove,3177.867036610718,4,4,7,2731.131890654211,0,0,6,6.577157410746166,7,585791.7384404206
Sunset Heights,3691.330779857731,3,3,33,3594.1626917344065,3,1,1,14.454151640191837,4,558814.8045129621
Sunset Heights,3661.259272795352,4,1,47,9019.760373235855,1,0,3,8.128739023654663,6,516013.36447582906
Sunset Heights,3339.6266375728715,5,4,55,7909.785205812531,3,0,2,27.530422345697986,4,546367.883970912
Sunset Heights,2926.094938462863,3,1,75,2109.964432090762,3,1,6,10.72679759139406,10,562590.7512433435
Mountain Ridge,1252.4198949851466,5,3,64,3987.0100829584017,2,0,8,28.615656421467797,7,408384.28605486767
Sunset Heights,1484.8861422838413,2,4,30,3715.2518639453165,3,1,3,16.458603412746626,1,307232.2004501393
River View,3695.6625655812377,1,2,3,4166.4506242957805,0,0,10,19.31478698160865,3,476605.1214388396
Sunset Heights,2819.2871789787696,3,2,49,3980.478162239091,2,0,8,16.745272890190506,3,386569.46428705833
Pinewood Estates,1027.5911548498889,2,4,68,2500.2103659427657,2,0,8,4.752037892034326,1,260109.24313814286
Sunset Heights,1304.4146285980964,2,4,29,5671.5241327745625,2,1,5,11.898815351230288,6,379890.8484369518
Maple Grove,2990.5053073241675,3,1,87,7861.867798289321,1,1,8,3.875237256051094,9,578202.737957746
River View,1015.1847515386561,5,4,58,6853.853797739492,1,0,6,19.06566728131807,8,301565.4249992331
River View,1482.424154252496,2,1,66,7382.973348784638,3,1,5,13.959351660812729,7,365537.7929055462
Mountain Ridge,2646.2013680997584,4,3,74,2649.1934282899133,2,0,9,23.56156417555717,10,416451.6267360386
Pinewood Estates,3075.68559307808,2,1,44,9611.925681414297,2,1,7,7.393643948981725,8,432673.97730409075
River View,2955.8837785078017,5,4,3,8707.934670744198,0,1,8,5.772415694450713,6,623708.3058169852
Maple Grove,1672.8079283816794,5,4,25,8440.722547965303,3,0,1,12.783634697949266,9,487988.1425013487
Sunset Heights,3136.5376640426075,4,3,26,8583.87044033414,0,0,2,27.870976113333054,3,317012.6723421988
River View,1711.7472624904003,2,4,45,9461.68406506209,3,0,8,21.60223263535994,10,443342.41226010746
Maple Grove,1976.199094477803,5,4,63,6354.031728909582,3,0,9,13.148785118994642,10,403137.4393340304
Sunset Heights,3239.4742153540724,3,2,90,3602.256142941007,1,0,4,16.000892922875007,9,449369.21511258034
Mountain Ridge,2948.898697141644,1,2,50,6934.26886282033,1,1,10,3.442177324135852,4,510773.1414187221
River View,3547.670231482534,1,3,49,7943.051949343512,0,1,10,29.55270099490728,7,583209.4298827415
River View,2972.8386769010303,1,1,5,7903.339146832203,3,0,9,20.32581183615265,9,406560.41866273514
Maple Grove,2704.925810006415,2,2,58,6171.592193335041,2,0,4,9.276717985439252,2,316526.0092875756
Pinewood Estates,1281.0243034842774,4,1,14,2547.6697546686246,1,0,10,17.988443432242086,2,335162.4887232752
Mountain Ridge,2103.1474091783007,5,4,29,4968.903507441022,2,1,10,4.174988616000825,9,626716.3718933298
Pinewood Estates,1795.6071030451762,3,2,41,9366.13286770686,0,0,10,29.009263395419925,3,243465.7956082954
River View,1731.9689301372507,3,3,100,6675.591278059408,1,0,9,6.068764648617612,9,320607.6090616413
Pinewood Estates,3919.0316642573366,2,3,36,6306.6555460457075,1,1,7,19.79287922360121,5,536709.1309047688
Sunset Heights,2179.2931740002814,1,3,41,4150.828115057548,3,1,2,8.118179413628983,6,411793.79740905
Mountain Ridge,3676.1396655313397,2,2,100,4947.591359332631,0,1,9,21.809280096807537,2,469788.33175146696
Pinewood Estates,2893.415877991789,4,1,34,9162.768713225354,3,1,4,23.52781964996815,8,497817.77310504904
Sunset Heights,3384.4339106249454,4,4,86,7331.704380214685,1,0,8,20.529172138431548,9,526872.3738835625
Maple Grove,2507.9112793155764,5,1,5,8299.096214018664,0,1,7,18.820484347400583,2,486373.929450089
Pinewood Estates,2730.7116538790774,5,1,67,5634.763384541241,1,1,7,26.88160372460834,6,394814.20356265566
Mountain Ridge,2477.553081456592,4,4,17,7041.977755649264,0,0,8,3.280174618702983,6,473306.568463704
Sunset Heights,1585.7289633941336,4,4,72,3987.0688699456605,1,0,1,10.59652820762566,8,299380.20274319605
Pinewood Estates,3167.356345784516,4,2,28,7643.68664226789,2,0,5,8.200336909294533,10,558284.3217559612
Maple Grove,1842.3170873225674,2,2,76,5420.810669626699,2,1,2,29.652404899897228,5,218040.79065929394
Pinewood Estates,1072.9478992943616,4,2,58,5540.364118517964,3,0,2,12.292303610339331,9,376318.7618737826
Sunset Heights,2936.4168877215034,3,2,46,7194.578596615053,2,1,1,22.245768277971564,1,397857.19814592996
Pinewood Estates,1531.3320382211468,1,2,16,9490.244971751414,1,1,5,20.85702975254913,9,216688.265043294
Mountain Ridge,3821.3757530587427,4,4,95,2512.050772868967,1,1,2,7.150355886843954,10,644658.6088916792
River View,3861.785731007762,1,1,21,8597.94589877606,2,0,4,7.930932726134988,7,581091.6614121139
Sunset Heights,3744.5931706613455,2,2,67,4339.064883297545,3,1,3,9.157252343037989,4,602072.2480277969
Sunset Heights,2110.4761007663333,1,2,68,5551.355636051023,2,0,3,12.922691069521997,3,194196.79379210123
Sunset Heights,1046.3698495866022,2,1,36,2175.3066302000716,0,0,2,7.795426903865277,10,141324.92909474263
Sunset Heights,3784.9556877631762,3,2,48,4408.368622674505,0,0,6,1.5698929996585864,6,508457.43783925
Pinewood Estates,2284.552444951943,2,1,12,6021.049941041044,0,1,2,26.50239864740867,1,424572.31527712825
Mountain Ridge,3899.9644571310087,2,1,33,2449.408618779512,2,1,8,29.00268511004564,3,467033.24981832196
Maple Grove,3890.8599312677584,5,4,85,5928.765835065321,2,1,8,10.90554122391547,2,637416.4016607982
Mountain Ridge,3559.0283664020803,4,3,52,9416.88503086742,2,0,5,10.816699503338713,9,671524.2839837131
Sunset Heights,1883.3466762087571,4,4,86,2843.145744862442,0,1,10,1.2056625704567585,3,448237.3318920535
Pinewood Estates,2155.2931858057755,3,3,50,8115.525824604035,3,1,7,20.72726996158085,2,495347.8851872737
Pinewood Estates,3553.410014550571,3,3,2,5277.368427007941,1,1,4,24.937756976710233,4,528165.98417824
Sunset Heights,1950.7660154688328,4,3,41,7241.389716194704,2,1,1,5.251640710440092,2,456439.8056827895
Pinewood Estates,1508.4782400582776,5,2,97,4081.892783881835,3,1,2,5.630324131647371,1,474685.1474087217
Sunset Heights,2670.4037873750503,4,4,31,3275.9381003308663,1,0,10,23.912414249171693,6,477128.6940224378
